pmid,max_micro_abs_rho,normal_mucosa_elevation_significant,m0_global_q,m3_global_q,raw_gene_count,tcga_mapped_count,normal_looking_minus_primary,mannwhitney_pvalue,class_0.3,class_0.4,class_0.5
35646934,0.7517698499870064,True,0.0731920495742894,0.6712422802862931,4,3,0.2340865856355763,0.007911818761882,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
35958598,0.7446949199409726,True,0.0053402036214479,0.0074039549803467,11,11,0.3321286292859086,2.8279693612906685e-08,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
33456631,0.7443371736470608,True,0.3700836877393857,0.501492007557985,4,4,0.1751089001804977,0.018862724774302,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
38305808,0.7433793815443605,True,0.0921369798861262,0.0978709551155173,4,4,0.5625863248184216,1.0220053490121256e-11,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
40779729,0.7433166487819209,True,0.6123626100707422,0.2560288298240451,12,12,0.324446545167978,1.5266526547691935e-09,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
35804889,0.7321619312935989,True,0.595527636795349,0.9776678779656846,4,4,0.3396961351903624,1.9900494279706183e-06,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
34512722,0.7321183112155389,True,0.6121684589309756,0.7238132613925774,8,8,0.3578967943822072,6.2600509735112995e-09,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
39991573,0.7275545412817027,True,0.1523665337140296,0.3120777167304406,5,5,0.4322011791399336,2.9540526832927124e-06,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
38356551,0.7265016481607587,True,0.1110925042238571,0.005574744665634,4,4,0.7717988586805704,1.5592244885008729e-15,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
36568387,0.7261286425462534,True,0.7238132613925774,0.5851163877018033,3,3,0.3202461540587396,0.000235149844903,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
41727459,0.7163321587252949,True,0.1001595600127666,0.0342835191930473,6,6,0.6670265236129863,5.771596542880109e-14,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
34329197,0.7163004070076966,True,0.412171086791175,0.0205537644476365,11,11,0.2086617276405957,0.0001969741572176,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
30846479,0.6995427444396731,True,0.057838442717141,0.0100447820862515,6,6,0.4318000571378453,3.4162749087023075e-08,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
32117435,0.697370680340662,True,0.7286906182135403,0.9574327827948697,8,8,0.3551451584580372,1.5266526547691935e-09,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
37578544,0.6940093140426749,False,0.0002186395952918,0.0002531886967846,4,4,0.0732144148660008,0.6883956672487825,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
40442298,0.6900209283893957,False,0.0320022315385726,0.0082247280386952,8,8,0.0619606343964239,0.2382230637408107,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
34368227,0.6854926094023925,True,0.4164464364415174,0.9881252665510774,6,6,0.7534508562527596,4.2688069447582063e-16,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
39503984,0.6790090936302663,True,0.1103208784997566,0.5056217970605079,5,5,0.1389558113221379,0.0486047660339449,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
41337795,0.671553142973052,False,0.4250848805862148,0.4293563307224129,8,8,0.0418950337933694,0.3871678699167985,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
42052292,0.6694647739354775,True,0.5063848913887254,0.9481278033152158,6,5,0.2908825454417554,0.0002532166567826,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
28400426,0.6575700564656516,True,0.1007401848184006,0.0731920495742894,6,6,0.5551232536565629,8.180096928816164e-09,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
42279297,0.6545279028237141,True,0.613177628679346,0.1195659173789375,5,5,0.4539039537769505,2.9876993341366085e-10,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
39160525,0.653217913270954,True,0.0380629250822155,0.00352888351219,5,5,0.6590670951302745,1.0781224267870138e-10,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
33392066,0.6504695400840773,True,0.205161078516222,0.7885922392823858,5,5,0.1557736013323553,0.0017120881304179,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
42371282,0.6495245411491471,True,0.3307892842817766,0.057838442717141,3,3,0.7343601044950738,2.7747559177660763e-16,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
35300137,0.6448013960891132,True,0.2858738917631054,0.743401875765606,4,4,0.4006605894235252,5.032708919209512e-05,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
41153362,0.6426432040997324,True,0.4934653416507845,0.595527636795349,13,13,0.3933606587600221,3.396058646016315e-11,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
34490263,0.6328662953668077,True,0.0066830475925732,0.0060411932074357,6,6,0.3887507557964024,6.67997887696286e-06,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
42251607,0.6294421963063812,False,0.8228410895511405,0.9574327827948697,6,6,-0.1552079053764971,0.073857334768256,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
42576531,0.6269012882257541,True,0.4611216787954775,0.8598872595441392,6,6,0.4180827328183806,1.4078481327968556e-08,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
41668898,0.622977947353186,False,0.7313850118385653,0.8416161987685472,3,3,0.0514090629589613,0.8619445554933161,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
36620542,0.6083555107263776,True,0.1135447213455779,0.309936097083354,14,14,0.0583341907907009,0.0408166494084867,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
37244876,0.6067665376354958,True,0.6559598942183095,0.9137520205736572,7,7,0.2629093678935054,9.796310430521e-05,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
37379131,0.5973694164373402,True,0.4669064542908465,0.3765075952610605,9,8,0.2467505750630305,0.0002651603882985,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
37845668,0.5941330532605777,False,0.3484685774217434,0.875034976862032,12,12,-0.0371160989114545,0.3302552762100944,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
33459039,0.593349433201014,False,0.2079633804858159,0.1891027081003102,5,5,0.0078192535877588,0.9481227358192552,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
37968767,0.5929886042160731,True,0.1347576488765868,0.0245502706120434,7,7,0.1426847325611252,0.002107935195894,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
36468020,0.5682954784012794,False,9.466692700453037e-05,0.0208916736213757,4,4,-0.0296396924797572,0.6953764695491635,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
41870815,0.5663860595779365,True,0.0029723929830222,0.0060223736931577,3,3,0.3621918904710312,0.000568852457133,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
33313125,0.5662945036543761,True,0.6059235694283235,0.6059235694283235,6,6,0.1552989301756258,0.0120224287137961,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
35125116,0.56296303945937,True,0.0055499389751038,0.0103389580641412,11,11,0.1917664347608804,0.0005638921770294,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
41137061,0.5477871056583101,True,0.3826452175424663,0.3484685774217434,16,8,0.1976781015453149,8.456796346308425e-05,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
37965307,0.5461401779760838,True,0.3758760856657185,0.6608944454748592,9,9,0.1041434077226179,0.0089073877405625,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
35127296,0.5432355123540384,True,0.0532515490858192,0.087738436403223,5,5,0.3090171511833627,1.1967844512617598e-06,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
35309900,0.5427922213840728,True,0.7102229600847104,0.5933839075246206,7,7,0.1433426234003093,0.0488754663916091,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
42319469,0.5416670391584993,False,0.0942479320201963,0.1079365553750258,6,4,-0.0169777801385893,0.5329986244627063,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
42164400,0.5399997657154818,True,0.0055499389751038,0.0045843791783068,7,7,0.3068853991242717,1.3332110747742754e-05,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
37301098,0.5355583786154956,True,0.0002391282182783,0.0010012867738942,3,3,0.1406878361311106,0.009094256199592,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
35205125,0.5352185119295518,True,0.3807717017003158,0.0731920495742894,4,4,0.4905845466476414,1.1707026708721064e-05,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
33837006,0.5320172914305197,True,0.3507857736488931,0.3852377758671791,4,3,0.3309113750723996,0.001071814947387,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
35023971,0.5106345133771836,True,0.0759876412430238,0.3670687303104003,4,4,0.257102334981999,7.219681940772849e-05,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
42030617,0.5101126137859793,True,0.1955975950335531,0.0723766520692107,9,9,0.2159593377611128,1.5009004737761397e-05,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
40097551,0.4914698856537416,False,0.2338585309875271,0.2230430966358856,3,3,-0.0307597006381329,0.7288800258003685,microenvironment_correlated,microenvironment_correlated,unclassified
36455365,0.4792001588202418,True,0.4187125123017795,0.7305864110552117,4,4,0.3827167889855161,5.712445128735978e-06,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
38049825,0.4761848245902564,True,0.1137266300715054,0.169568764165268,8,8,0.2546172543138506,2.6777959961711364e-07,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
35918812,0.4713866160036671,True,0.8219467244822632,0.5282929155975531,3,2,0.3866938713774028,4.3490803481223606e-08,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
35669725,0.4708471450735976,False,0.7305864110552117,0.931849350534758,10,10,-0.0207203313333913,0.6521922670746494,microenvironment_correlated,microenvironment_correlated,unclassified
39368544,0.4667832334901087,True,0.0219793437083635,0.0232932815506957,5,5,0.3485764014632967,3.274656742465992e-05,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
