pmid,model,n,events,coef,hr,pvalue,qvalue_global
33392066,m2_purity,402,107,-0.4734852850758077,0.6228277488160265,0.031024458897990825,0.11707342980373896
33392066,m3_microenvironment,402,107,-0.12107219269752308,0.8859699967200895,0.6446741556133504,0.7885922392823858
33456631,m0_score,402,107,0.2734353550501449,1.314472382464179,0.17208891479881439,0.37008368773938577
33456631,m1_clinical,402,107,0.09555408714841954,1.1002683308011003,0.6367656085630292,0.781307495169361
33456631,m2_purity,402,107,-0.01537151577233161,0.9847460229560996,0.9478470929888831,0.9733988117985963
33456631,m3_microenvironment,402,107,0.2886164883675993,1.3345798034911736,0.30841758464816077,0.501492007557985
33459039,m0_score,402,107,0.36159599607148235,1.4356188291374872,0.07070754936517741,0.2079633804858159
33459039,m1_clinical,402,107,0.18154851268514544,1.1990727055353696,0.3820352153824519,0.5821488996304028
33459039,m2_purity,402,107,0.07235015048740522,1.0750317010432748,0.7954632099654219,0.9026532879040249
33459039,m3_microenvironment,402,107,0.5838118862417342,1.792859598569774,0.06051286659209928,0.18910270810031024
33535616,m0_score,402,107,0.03736945194061878,1.0380764693670124,0.7890297855348538,0.9002995508972897
33535616,m1_clinical,402,107,-0.06274174835239986,0.9391859887018198,0.6504286283214242,0.7932056442944199
33535616,m2_purity,402,107,-0.06810752175663533,0.9341600256502052,0.6273846063549084,0.7745488967344548
33535616,m3_microenvironment,402,107,-0.143160616414985,0.8666148651437723,0.3027358037577804,0.49527329858123587
33545950,m0_score,402,107,0.38324289144740864,1.467034316885763,0.05239977174261202,0.16956876416526806
33545950,m1_clinical,402,107,0.25028694920674166,1.2843939196307812,0.2112374518326681,0.4111298392124881
33545950,m2_purity,402,107,0.21841732557300694,1.244106156611662,0.3090891689723761,0.5015645743973649
33545950,m3_microenvironment,402,107,0.2952237516462827,1.343426919044382,0.1691345316061195,0.3686856274792796
33837006,m0_score,402,107,-0.2629778203592929,0.7687589479193266,0.158292080359063,0.3507857736488931
33837006,m1_clinical,402,107,-0.26238845831727,0.769212158802223,0.19382116028742408,0.39254918539225125
33837006,m2_purity,402,107,-0.5357481712273052,0.5852312731094946,0.02368808039145972,0.09921709064485747
33837006,m3_microenvironment,402,107,-0.3239994796850494,0.7232506186978545,0.18685993817241278,0.38523777586717917
33925460,m0_score,402,107,-1.0938730266348868,0.3349168366992292,4.208341654845425e-05,0.0010502629899710899
33925460,m1_clinical,402,107,-1.0306476562711768,0.3567758176309473,0.0005802356793444257,0.007368072118659374
33925460,m2_purity,402,107,-1.0697419549916813,0.3430970404754126,0.0006500512724442627,0.0076752147761991055
33925460,m3_microenvironment,402,107,-0.8440358757860174,0.42997170456966755,0.007823541054894478,0.04777734995355406
33937319,m0_score,402,107,0.001982726588793889,1.0019846934908851,0.989577164457974,0.9928018793158647
33937319,m1_clinical,402,107,-0.033047691131803204,0.9674924176803507,0.8324990159338667,0.9251908389167466
33937319,m2_purity,402,107,-0.6888133933157433,0.5021715958404211,0.02020471435126967,0.09132074283059738
33937319,m3_microenvironment,402,107,-0.11435394015855747,0.8919422058416352,0.8138415402150426,0.9137520205736573
33962639,m0_score,402,107,-0.229681132703417,0.7947869936821417,0.3654748807916831,0.5633524174052918
33962639,m1_clinical,402,107,-0.2487922558986582,0.7797419433492652,0.3606026296482201,0.5601594246962642
33962639,m2_purity,402,107,-0.2534456946554034,0.776121891347497,0.3630815565652994,0.5607437167031651
33962639,m3_microenvironment,402,107,-0.12286120305636354,0.8843864041724363,0.6606295415905041,0.8031970110522847
33985530,m0_score,402,107,-0.14063574337814852,0.8688057223042919,0.42406110747398895,0.6123626100707422
33985530,m1_clinical,402,107,-0.10999180185263298,0.8958414795068902,0.523542420328974,0.7027415037972806
33985530,m2_purity,402,107,-0.20979034854150122,0.810754203954938,0.26503904496764896,0.4599376051499331
33985530,m3_microenvironment,402,107,-0.30041173615046424,0.7405132618249417,0.1195771016840886,0.301771865448804
