pmid,model,coef,hr,pvalue,qvalue_global
34422642,m1_plus_both,-0.478500633605047,0.6197118707206687,0.15980983027773166,0.37165076808774805
34426176,m1_clinical,-0.18677834987684733,0.8296276030680056,0.14617282125305414,0.3500890477130396
34426176,m1_plus_tumor,-0.305764504926615,0.7365600552979302,0.037660152005521495,0.1537149061449857
34426176,m1_plus_normal,-0.39679394070505924,0.6724725805827212,0.012961543342370645,0.08092135479789594
34426176,m1_plus_both,-0.6028731298685316,0.5472370920081269,0.0006947568187662798,0.010292693611352292
34490263,m1_clinical,0.648739698754646,1.9131281911661502,0.004277229489662731,0.03318933156360809
34490263,m1_plus_tumor,0.6485675744610114,1.9127989236658942,0.005464421401626927,0.04085548711496768
34490263,m1_plus_normal,0.6700100350047441,1.9542569315151206,0.006609943369949467,0.04686551793764844
34490263,m1_plus_both,0.6705681806434416,1.9553479959564453,0.008314972280747828,0.05685451132135268
34512654,m1_clinical,0.5197677326976317,1.681637015041767,0.08919658101951575,0.2633109402790133
34512654,m1_plus_tumor,0.5018556437046421,1.6517835503180351,0.11404003529295369,0.3051238402487055
34512654,m1_plus_normal,0.49033570905076795,1.6328642952759087,0.1119750358893417,0.30399060368807523
34512654,m1_plus_both,0.47676701756680473,1.610858098692135,0.13628540907379447,0.33965210984123234
34512722,m1_clinical,-0.01063974201623328,0.9894166598279294,0.9565199276857566,0.9760407425364863
34512722,m1_plus_tumor,-0.141221132446081,0.8682972817645839,0.5588811048522857,0.7463113363879091
34512722,m1_plus_normal,-0.058578970901292444,0.9431037597048854,0.768699114603024,0.9011632683133366
34512722,m1_plus_both,-0.1953585724413854,0.8225396651151529,0.4179243922710094,0.6344203298231642
34521394,m1_clinical,-0.014292501183089999,0.9858091517441555,0.9261838503700334,0.9597760107461486
34521394,m1_plus_tumor,-0.017044825275542373,0.9830996159360513,0.9119861853883858,0.9586859670655434
34521394,m1_plus_normal,-0.021296586406268882,0.9789285845993121,0.8897635114374505,0.9476956068280062
34521394,m1_plus_both,-0.02393441930130808,0.9763497373563426,0.876256431185154,0.94058854865109
34530089,m1_clinical,-0.07022491760390219,0.9321841317042497,0.618522315765718,0.7904438540136972
34530089,m1_plus_tumor,-0.12158102957414256,0.8855192971901747,0.4254459779039379,0.6401140185910856
34530089,m1_plus_normal,-0.3878301902010336,0.6785275541094185,0.06486428897790511,0.21803122345514322
34530089,m1_plus_both,-0.5481762160970668,0.5780030022627336,0.018534744690180908,0.09885197168096484
