pmid,doi,pmcid,in_pmc,in_epmc,open_access,fulltext_urls,supplementary_urls,supplementary_count
37152941,10.3389/fendo.2023.1180404,PMC10154596,Y,Y,Y,https://www.frontiersin.org/articles/10.3389/fendo.2023.1180404/pdf:Open access | https://doi.org/10.3389/fendo.2023.1180404:Subscription required | https://europepmc.org/articles/PMC10154596:Open access | https://europepmc.org/articles/PMC10154596?pdf=render:Open access,,0
37064115,10.3389/fonc.2023.972558,PMC10090514,Y,Y,Y,https://www.frontiersin.org/articles/10.3389/fonc.2023.972558/pdf:Open access | https://doi.org/10.3389/fonc.2023.972558:Subscription required | https://europepmc.org/articles/PMC10090514:Open access | https://europepmc.org/articles/PMC10090514?pdf=render:Open access,,0
36973645,10.1186/s12859-023-05241-z,PMC10041757,Y,Y,Y,https://bmcbioinformatics.biomedcentral.com/counter/pdf/10.1186/s12859-023-05241-z:Open access | https://doi.org/10.1186/s12859-023-05241-z:Subscription required | https://europepmc.org/articles/PMC10041757:Open access | https://europepmc.org/articles/PMC10041757?pdf=render:Open access,,0
36579659,10.3892/mmr.2022.12925,PMC9827344,Y,Y,Y,https://doi.org/10.3892/mmr.2022.12925:Subscription required | https://europepmc.org/articles/PMC9827344:Open access | https://europepmc.org/articles/PMC9827344?pdf=render:Open access,,0
36206128,10.1097/cad.0000000000001399,PMC9815815,Y,Y,Y,https://journals.lww.com/anti-cancerdrugs/Fulltext/2023/02000/Identification_and_validation_of_RB1_as_an.8.aspx:Open access | https://doi.org/10.1097/CAD.0000000000001399:Subscription required | https://europepmc.org/articles/PMC9815815:Open access | https://europepmc.org/articles/PMC9815815?pdf=render:Open access,,0
36777726,10.3389/fgene.2023.1062060,PMC9908994,Y,Y,Y,https://doi.org/10.3389/fgene.2023.1062060:Subscription required | https://europepmc.org/articles/PMC9908994:Open access | https://europepmc.org/articles/PMC9908994?pdf=render:Open access,,0
38073378,10.3233/cbm-230190,PMC12412879,Y,Y,N,https://doi.org/10.3233/CBM-230190:Subscription required | https://europepmc.org/articles/PMC12412879:Free | https://europepmc.org/articles/PMC12412879?pdf=render:Free | https://doi.org/10.3233/cbm-230190:Free,,0
36455365,10.1016/j.prp.2022.154233,,N,N,N,https://doi.org/10.1016/j.prp.2022.154233:Subscription required,,0
36620542,10.3389/fonc.2022.1081091,PMC9815449,Y,Y,Y,https://doi.org/10.3389/fonc.2022.1081091:Subscription required | https://europepmc.org/articles/PMC9815449:Open access | https://europepmc.org/articles/PMC9815449?pdf=render:Open access,,0
36527532,10.1007/s10142-022-00936-7,,N,N,N,https://doi.org/10.1007/s10142-022-00936-7:Subscription required,,0
36568387,10.3389/fgene.2022.1057302,PMC9780475,Y,Y,Y,https://www.frontiersin.org/articles/10.3389/fgene.2022.1057302/pdf:Open access | https://doi.org/10.3389/fgene.2022.1057302:Subscription required | https://europepmc.org/articles/PMC9780475:Open access | https://europepmc.org/articles/PMC9780475?pdf=render:Open access,,0
36454396,10.1007/s12672-022-00596-w,PMC9715909,Y,Y,Y,https://link.springer.com/content/pdf/10.1007/s12672-022-00596-w.pdf:Open access | https://doi.org/10.1007/s12672-022-00596-w:Subscription required | https://europepmc.org/articles/PMC9715909:Open access | https://europepmc.org/articles/PMC9715909?pdf=render:Open access,,0
36505302,,PMC9730090,Y,Y,N,https://europepmc.org/articles/PMC9730090:Free | https://europepmc.org/articles/PMC9730090?pdf=render:Free,,0
36358715,10.3390/cancers14215295,PMC9654607,Y,Y,Y,https://www.mdpi.com/2072-6694/14/21/5295/pdf?version=1667879778:Open access | https://doi.org/10.3390/cancers14215295:Subscription required | https://europepmc.org/articles/PMC9654607:Open access | https://europepmc.org/articles/PMC9654607?pdf=render:Open access,,0
36300085,10.3389/fonc.2022.1018285,PMC9589509,Y,Y,Y,https://doi.org/10.3389/fonc.2022.1018285:Open access | https://doi.org/10.3389/fonc.2022.1018285:Subscription required | https://europepmc.org/articles/PMC9589509:Open access | https://europepmc.org/articles/PMC9589509?pdf=render:Open access,,0
