"","Normal_urothelial","Myeloid","Tumor_epithelial","NK_cell","B_plasma","Endothelial","T_cell","Myofibroblast","Mast_cell","Fibroblast"
"TCGA-DK-A1AD-01A-11R-A13Y-07",0.731326898658332,0.0195721308228965,3.42733089987765e-06,9.63078602138752e-06,1.58461075661477e-06,0.0603314054033977,0.0414641199506579,0.0844121144121556,0.000144482415063475,0.0627342056098196
"TCGA-DK-A1AE-01A-11R-A13Y-07",0.223619190307343,0.00275816092034298,0.255617743815759,9.10833289971378e-07,1.01287592668311e-06,0.0989775219330114,0.255686257328161,0.0164626374387158,6.8079139409932e-05,0.146808485408041
"TCGA-DK-A1AF-01A-11R-A13Y-07",0.32098062620533,0.0875807203914478,2.38069464784094e-06,1.4782726829748e-06,9.9733615183342e-07,0.174751590301968,1.84768291526253e-06,0.135347709920909,0.00137691859195884,0.279955730601988
"TCGA-DK-A1AG-01A-11R-A13Y-07",0.641139858826401,0.0117283261617726,0.0710070911219088,1.62520095059824e-06,1.68243901283646e-06,0.18600006766574,0.0592562290107565,0.0285464238579109,0.000102546750455859,0.00221614896509119
"TCGA-DK-A2HX-01A-12R-A18C-07",0.487792946360531,0.0244013869400866,1.70057441549598e-06,7.6050675346913e-07,9.2532707036465e-07,0.0215124599549816,8.08948798742113e-07,0.317201569895746,0.000795815191872984,0.148291626299743
"TCGA-DK-A2I1-01A-11R-A180-07",0.635533384043415,0.0510167186036047,1.07487302062617e-06,7.12248596468686e-07,2.93825342769043e-05,0.0646389413694651,0.00443494076343853,0.144900416558565,0.00086557726148718,0.0985788517441314
"TCGA-DK-A2I2-01A-11R-A180-07",3.5421063029327e-06,0.197494796857386,0.452595624188115,0.0297420599879139,1.198651027319e-06,0.0878691570790842,0.000126607154461872,0.155406377066594,0.000229152930532307,0.0765314839785825
"TCGA-DK-A2I4-01A-11R-A21D-07",0.207274217304812,0.414630935750629,1.48765525493153e-06,0.000338518561901449,1.48426150571195e-06,0.113847492640833,2.78678127953102e-06,0.122415583037575,0.00100816788512779,0.140479326121081
"TCGA-DK-A2I6-01A-12R-A18C-07",0.375184722355592,0.057280700810832,0.0314814599355896,6.95787754534508e-06,1.74326877583069e-06,0.206738163634217,0.232714795287703,0.0617434686378444,0.000128192645627054,0.0347197955462745
"TCGA-DK-A3IK-01A-32R-A21D-07",0.782136507028339,2.61571155087384e-05,1.06600143095551e-06,9.50226861199468e-07,3.29836916292367e-06,0.0515928646817412,3.91600631699432e-06,0.111060199534529,0.000517297163621819,0.0546577438724887
"TCGA-DK-A3IL-01A-11R-A20F-07",0.739065121028943,1.14495887408304e-05,1.80861843862871e-06,8.62284456923039e-07,3.24526621009148e-06,0.0210774675649019,0.00152862616679705,0.21072784981254,0.000252038558293372,0.0273315311106783
