"","Normal_urothelial","Myeloid","Tumor_epithelial","NK_cell","B_plasma","Endothelial","T_cell","Myofibroblast","Fibroblast"
"TCGA-4Z-AA81-01A-11R-A39I-07",0.292562302419745,0.126626031438172,0.0270289613159832,0.0149596678225232,0,0.0639948366807955,0.421019267920816,0.00340844877669097,0.0504004836252747
"TCGA-4Z-AA82-01A-11R-A39I-07",0,0.0371347028617201,0.100480804741596,0,0.0317272287501044,0.289637017833071,0.0215276530396564,0.164008845629762,0.35548374714409
"TCGA-4Z-AA83-01A-11R-A39I-07",0.0272161041586925,0.140394205581992,0.557045186776352,0,0,0.049549330164286,0,0.107550859293261,0.118244314025417
"TCGA-4Z-AA84-01A-11R-A39I-07",0.039297761276289,0.000134777646926192,0.483189409034977,0,0,0.0407889417404501,0.256348786993417,0.00697206177236248,0.173268261535577
"TCGA-4Z-AA86-01A-11R-A39I-07",0,0.229858668743686,0,0,0,0.175570032636001,0.0944307564527606,0.172923396992987,0.327217145174566
"TCGA-4Z-AA87-01A-11R-A39I-07",0.218018347218755,0.0426429573838458,0.255246597122517,0,0.00177487929648494,0.0310226075942665,0.325584984948922,0.0354446389081293,0.0902649875270806
"TCGA-4Z-AA89-01A-11R-A39I-07",0.0260356506147062,0,0.708476277128086,0,0,0.143070006368539,0.11105268631978,0.0104127605379101,0.000952619030978562
"TCGA-5N-A9KI-01A-31R-A42T-07",0.280189992322584,0.0733346632468537,0,0.00203359616147785,0,0.26597670319243,0,0.160555603655889,0.217909441420765
"TCGA-5N-A9KM-01A-11R-A42T-07",0.350755091133759,0.34115542817814,0,0,0,0.0403408705647499,0,0.0501636395559986,0.217584970567352
"TCGA-BL-A0C8-01A-11R-A10U-07",0.493047561622954,0,0,0,0,0.0637310935795935,0.136550428715556,0.102018618017524,0.204652298064372
"TCGA-BL-A13I-01A-11R-A13Y-07",0,0.415930970416313,0,0,0,0.148508080735959,0.171294143952018,0.0526817645239833,0.211585040371727
"TCGA-BL-A13J-01A-11R-A10U-07",0,0.0130649689752437,0.498542551062406,0,0,0.103788212850443,0.00567976357363088,0.0294581495813482,0.349466353956928
"TCGA-BL-A3JM-01A-12R-A21D-07",0.0227102868261937,1.80214128977547e-05,0,0.0172879914707144,0,0.195326669901173,0.469942995589029,0.0226675940107471,0.272046440789246
"TCGA-BL-A5ZZ-01A-31R-A30C-07",0,0.11786124875225,0,0,0,0.130811606404134,0.00262330911460717,0.118982960308277,0.629720875420733
"TCGA-BT-A0S7-01A-11R-A10U-07",0,0,0.286945017587897,0,0,0.0932375351680418,0.471859027209556,0,0.147958420034506
"TCGA-BT-A0YX-01A-11R-A10U-07",0,0.204566030247376,0.574342672039842,0,0,0.0853954529685465,0,0.000935204360747833,0.134760640383488
"TCGA-BT-A20J-01A-11R-A14Y-07",0.0202617263301966,0.304223385183221,0.0346583048043821,0.000769854875834718,0,0.170618385362862,0.30218758531297,0,0.167280758130534
"TCGA-BT-A20N-01A-11R-A14Y-07",0.000677657464284713,0,0.575302970825695,0,0,0.0212496860894537,0.197689196037881,0.000961706629851943,0.204118782952834
"TCGA-BT-A20O-01A-21R-A14Y-07",0,0.588406826703544,0,0,0,0.0841151733826291,0.160375028936799,0.0427639648803292,0.124339006096699
"TCGA-BT-A20P-01A-11R-A14Y-07",0.0221757254398586,0.0237216584635377,0.754032636292176,0,0,0.0207239488862059,0,0.0338492825085932,0.145496748409629
"TCGA-BT-A20Q-01A-11R-A14Y-07",0.278923733953277,0.16012826920825,0.000851753408571391,0,0,0.0137161334565566,0,0.179235157677293,0.367144952296052
"TCGA-BT-A20R-01A-12R-A16R-07",0.0718001845352385,0.150191799197028,0,0,0,0.0467303406058972,0.00126552921642005,0.064182585800499,0.665829560644917
"TCGA-BT-A20T-01A-11R-A14Y-07",0.327289474607334,0.0606056474402023,0,5.15467290271546e-05,2.02629463238443e-05,0.147582542641005,0.00204357424008273,0.200521878050205,0.26188507334582
"TCGA-BT-A20U-01A-11R-A14Y-07",0,0.112248701979163,0.367497709020868,0,0,0.107233884834315,0.108498310541926,0.0595899625019624,0.244931431121766
